feature,bin,count,count_pct,non_event,event,event_rate,woe,iv,coefficient,points
funded_amnt_inv,"(-inf, 9000.23)",141599,0.3139249767215005,121864,19735,0.13937245319529093,0.23205069680947887,0.01563524116901214,-0.5660896087290155,3.8
funded_amnt_inv,"[9000.23, 15048.66)",143138,0.3173369396532612,118913,24225,0.16924226969777417,0.002545712609211659,2.0548210669898357e-06,-0.5660896087290155,0.0
funded_amnt_inv,"[15048.66, inf)",166323,0.3687380836252383,133783,32540,0.19564341672528754,-0.1747122803855108,0.011912883782320848,-0.5660896087290155,-2.9
funded_amnt_inv,Special,0,0.0,0,0,0.0,0.0,0.0,-0.5660896087290155,0.0
funded_amnt_inv,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.5660896087290155,0.0
int_rate,"(-inf, 9.74)",91014,0.20177803396443933,85430,5584,0.06135319840903597,1.1393306987933454,0.1766959318165027,-0.480963177277517,15.8
int_rate,"[9.74, 14.48)",175911,0.38999467920010644,152325,23586,0.13407916503231748,0.2769018175566693,0.027237015978029997,-0.480963177277517,3.8
int_rate,"[14.48, inf)",184135,0.4082272868354543,136805,47330,0.25703967197979743,-0.527049052600139,0.13358107077002296,-0.480963177277517,-7.3
int_rate,Special,0,0.0,0,0,0.0,0.0,0.0,-0.480963177277517,0.0
int_rate,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.480963177277517,0.0
annual_inc,"(-inf, 60865.00)",218516,0.48444996231100074,176293,42223,0.19322612531805453,-0.15927897560994375,0.012944239936376578,-0.9388726282712303,-4.3
annual_inc,"[60865.00, 80000.02)",96689,0.21435950871280982,80712,15977,0.16524113394491619,0.03127581215053299,0.00020752009086385558,-0.9388726282712303,0.8
annual_inc,"[80000.02, inf)",135855,0.3011905289761894,117555,18300,0.1347024401015789,0.27154398641545185,0.02026602349344153,-0.9388726282712303,7.4
annual_inc,Special,0,0.0,0,0,0.0,0.0,0.0,-0.9388726282712303,0.0
annual_inc,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.9388726282712303,0.0
dti,"(-inf, 14.68)",180914,0.4010863299782734,156250,24664,0.13632996893551633,0.2576513351225511,0.024412696172702576,-0.37944951736276245,2.8
dti,"[14.68, 22.97)",161599,0.35826497583470046,133384,28215,0.17459885271567274,-0.03508282807305618,0.0004460791683174069,-0.37944951736276245,-0.4
dti,"[22.97, inf)",108547,0.2406486941870261,84926,23621,0.21761080453628381,-0.30881712071268685,0.02533408188805842,-0.37944951736276245,-3.4
dti,Special,0,0.0,0,0,0.0,0.0,0.0,-0.37944951736276245,0.0
dti,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.37944951736276245,0.0
fico_range_high,"(-inf, 696.50)",245430,0.544118299117634,195475,49955,0.20354072444281465,-0.22415136908451472,0.02939241565410575,-0.31048004512085176,-2.0
fico_range_high,"[696.50, 736.50)",150550,0.3337693433246131,128718,21832,0.14501494520092992,0.1857859186462758,0.010824927373718377,-0.31048004512085176,1.7
fico_range_high,"[736.50, inf)",55080,0.12211235755775285,50367,4713,0.08556644880174293,0.7805502878706665,0.05687240413256849,-0.31048004512085176,7.0
fico_range_high,Special,0,0.0,0,0,0.0,0.0,0.0,-0.31048004512085176,0.0
fico_range_high,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.31048004512085176,0.0
inq_last_6mths,"(-inf, 0.50)",233553,0.5177869906442601,198215,35338,0.15130612751709463,0.13593216505781802,0.009142744961376775,-0.3525299124245099,1.4
inq_last_6mths,"[0.50, 1.50)",126756,0.28101804637963906,104182,22574,0.17809018902458265,-0.05912069476805537,0.0010015012483266205,-0.3525299124245099,-0.6
inq_last_6mths,"[1.50, inf)",90751,0.20119496297610073,72163,18588,0.20482418926513207,-0.2320500249632813,0.011676680736067197,-0.3525299124245099,-2.4
inq_last_6mths,Special,0,0.0,0,0,0.0,0.0,0.0,-0.3525299124245099,0.0
inq_last_6mths,Missing,0,0.0,0,0,0.0,0.0,0.0,-0.3525299124245099,0.0
revol_util,"(-inf, 25.85)",54096,0.1199308296013834,47505,6591,0.12183895297249335,0.38666862367801946,0.015726566823706215,0.023132455889016093,-0.3
revol_util,"[25.85, 56.55)",165505,0.36692457766150843,139146,26359,0.15926407057188605,0.07525270604337986,0.002026539744293174,0.023132455889016093,-0.1
revol_util,"[56.55, inf)",231169,0.5125016627499668,187680,43489,0.18812643563799644,-0.1262309105584547,0.008509950301496493,0.023132455889016093,0.1
revol_util,Special,0,0.0,0,0,0.0,0.0,0.0,0.023132455889016093,-0.0
revol_util,Missing,290,0.0006429299871414003,229,61,0.2103448275862069,-0.2656131235291821,4.9404465158894614e-05,0.023132455889016093,0.2
acc_open_past_24mths,"(-inf, 2.50)",119654,0.26527291269454173,103829,15825,0.13225633911110368,0.2926930842008275,0.020587984497429157,-0.4831118809799125,4.1
acc_open_past_24mths,"[2.50, 5.50)",174117,0.38601738127965235,144270,29847,0.1714192181119592,-0.012859051227761764,6.410144033456661e-05,-0.4831118809799125,-0.2
acc_open_past_24mths,"[5.50, inf)",110008,0.24388773112224538,86066,23942,0.21763871718420477,-0.30898105795824105,0.025703633550310842,-0.4831118809799125,-4.3
acc_open_past_24mths,Special,0,0.0,0,0,0.0,0.0,0.0,-0.4831118809799125,0.0
acc_open_past_24mths,Missing,47281,0.1048219749035605,40395,6886,0.1456398976332988,0.18075438710522929,0.0032234775863933976,-0.4831118809799125,2.5
avg_cur_bal,"(-inf, 14683.50)",256070,0.5677071786458564,207574,48496,0.18938571484359745,-0.1344546806248983,0.010723262958249451,-0.2787482082390112,-1.1
avg_cur_bal,"[14683.50, 36924.50)",99839,0.22134305857313882,85084,14755,0.1477879385811156,0.1635957324963908,0.005608287600552799,-0.2787482082390112,1.3
avg_cur_bal,"[36924.50, inf)",27612,0.06121580277568395,24685,2927,0.10600463566565262,0.5437565010909668,0.015030819592211276,-0.2787482082390112,4.4
avg_cur_bal,Special,0,0.0,0,0,0.0,0.0,0.0,-0.2787482082390112,0.0
avg_cur_bal,Missing,67539,0.1497339600053208,57217,10322,0.15283021661558507,0.12411225439030638,0.002212896428896726,-0.2787482082390112,1.0
bc_open_to_buy,"(-inf, 2766.50)",174726,0.3873675342526493,139667,35059,0.2006513054725685,-0.20623260157759793,0.01761324016837046,-0.2133874229392745,-1.3
bc_open_to_buy,"[2766.50, 10984.50)",135180,0.2996940540061189,112522,22658,0.16761355230063618,0.014174504720127823,5.993182647056672e-05,-0.2133874229392745,0.1
bc_open_to_buy,"[10984.50, inf)",90015,0.19956325100873498,78859,11156,0.1239348997389324,0.3672227149937528,0.023762112379381844,-0.2133874229392745,2.3
bc_open_to_buy,Special,0,0.0,0,0,0.0,0.0,0.0,-0.2133874229392745,0.0
bc_open_to_buy,Missing,51139,0.11337516073249679,43512,7627,0.14914253309607148,0.15288091602844767,0.0025177893450650424,-0.2133874229392745,0.9
bc_util,"(-inf, 46.15)",96357,0.21362346472753072,83070,13287,0.13789345870045766,0.24443624933169894,0.011755904171174968,-0.08088463039751516,0.6
bc_util,"[46.15, 91.75)",227879,0.5052077328958453,188238,39641,0.1739563540299896,-0.030618079468809123,0.0004784178673269953,-0.08088463039751516,-0.1
bc_util,"[91.75, inf)",75444,0.1672593446548131,59546,15898,0.21072583638195216,-0.26790545496076157,0.013084804737953521,-0.08088463039751516,-0.6
bc_util,Special,0,0.0,0,0,0.0,0.0,0.0,-0.08088463039751516,0.0
bc_util,Missing,51380,0.11390945772181084,43706,7674,0.14935772674192294,0.15118613771308942,0.0024752980187042048,-0.08088463039751516,0.4
mo_sin_old_rev_tl_op,"(-inf, 123.50)",106753,0.23667139626657208,85702,21051,0.19719352149354116,-0.18453316529407604,0.008556680507919155,-0.09472559924087065,-0.5
mo_sin_old_rev_tl_op,"[123.50, 233.50)",187157,0.4149270607014588,155311,31846,0.17015660648546407,-0.003943490047721321,6.4609877450193695e-06,-0.09472559924087065,-0.0
mo_sin_old_rev_tl_op,"[233.50, inf)",89622,0.1986919700261606,76338,13284,0.14822253464551113,0.16014928196400802,0.004830114336015288,-0.09472559924087065,0.4
mo_sin_old_rev_tl_op,Special,0,0.0,0,0,0.0,0.0,0.0,-0.09472559924087065,0.0
mo_sin_old_rev_tl_op,Missing,67528,0.14970957300580853,57209,10319,0.1528106859376851,0.12426310962234965,0.0022178051499021655,-0.09472559924087065,0.3
mo_sin_rcnt_rev_tl_op,"(-inf, 3.50)",88548,0.19631091207378176,70792,17756,0.20052400957672675,-0.2054387499168504,0.008855262280430879,0.2068900142123276,1.2
mo_sin_rcnt_rev_tl_op,"[3.50, 17.50)",207511,0.46005187779896245,171211,36300,0.17493048561281088,-0.03738229020091821,0.000650855868543984,0.2068900142123276,0.2
mo_sin_rcnt_rev_tl_op,"[17.50, inf)",87473,0.19392763712144725,75348,12125,0.13861420095343707,0.2383866821863152,0.010171316189408114,0.2068900142123276,-1.4
mo_sin_rcnt_rev_tl_op,Special,0,0.0,0,0,0.0,0.0,0.0,0.2068900142123276,-0.0
mo_sin_rcnt_rev_tl_op,Missing,67528,0.14970957300580853,57209,10319,0.1528106859376851,0.12426310962234965,0.0022178051499021655,0.2068900142123276,-0.7
mo_sin_rcnt_tl,"(-inf, 4.50)",151320,0.33547643329047133,121401,29919,0.19772006344171292,-0.18785587717418895,0.012582914041057285,-0.1737469948292271,-0.9
mo_sin_rcnt_tl,"[4.50, 14.50)",179218,0.397326298053474,149602,29616,0.16525125824414957,0.031202415693717844,0.0003828551903464507,-0.1737469948292271,0.2
mo_sin_rcnt_tl,"[14.50, inf)",52995,0.11748991265020174,46348,6647,0.12542692706859138,0.3535512531652605,0.013028705165114602,-0.1737469948292271,1.8
mo_sin_rcnt_tl,Special,0,0.0,0,0,0.0,0.0,0.0,-0.1737469948292271,0.0
mo_sin_rcnt_tl,Missing,67527,0.1497073560058529,57209,10318,0.15279814000325795,0.12436002293346848,0.0022211604464900487,-0.1737469948292271,0.6
mort_acc,"(-inf, 0.50)",159585,0.3537999379240012,128566,31019,0.19437290472162172,-0.1666187917171995,0.010368973366010541,-0.3438638977244769,-1.7
mort_acc,"[0.50, 2.50)",120998,0.2682525606349488,100431,20567,0.16997801616555647,-0.002678187937649623,1.925795559376823e-06,-0.3438638977244769,-0.0
mort_acc,"[2.50, inf)",123196,0.27312552653748945,105168,18028,0.1463359199974025,0.1751717037827083,0.007903276906619485,-0.3438638977244769,1.7
mort_acc,Special,0,0.0,0,0,0.0,0.0,0.0,-0.3438638977244769,0.0
mort_acc,Missing,47281,0.1048219749035605,40395,6886,0.1456398976332988,0.18075438710522929,0.0032234775863933976,-0.3438638977244769,1.8
mths_since_recent_bc,"(-inf, 3.50)",51961,0.1151975346960493,41202,10759,0.20705914050922808,-0.24571707765528816,0.00752863733276976,-0.4917580921728908,-3.5
mths_since_recent_bc,"[3.50, 29.50)",244228,0.5414534651709307,200866,43362,0.17754720998411322,-0.05540672536763758,0.0016927661640082075,-0.4917580921728908,-0.8
