Feature,Mean |SHAP|,Rank
int_rate,0.39525977288532177,1
term,0.22144371367476376,2
annual_inc,0.1508200297160057,3
acc_open_past_24mths,0.11485715048841999,4
dti,0.11152978306910234,5
fico_range_low,0.07132316792816473,6
loan_amnt,0.07105972669556834,7
mths_since_recent_bc,0.045597071612091346,8
mo_sin_old_rev_tl_op,0.04432943637497827,9
emp_length,0.04237610933476345,10
home_ownership,0.039879917639651756,11
installment,0.03891296554905282,12
total_bc_limit,0.03829427557508195,13
funded_amnt,0.03762888859720445,14
avg_cur_bal,0.03702014963725902,15
purpose,0.03296357150813344,16
mths_since_recent_inq,0.03157138178465152,17
num_tl_op_past_12m,0.03145313769628807,18
num_il_tl,0.02894935142494247,19
percent_bc_gt_75,0.028879762071484346,20
